PSA,PSA Code,Street,City,State,Zip,Address_Unformatted,Latitude,Longitude,Address,confidence,confidence_city_level,confidence_street_level
Dream Academy,11905,248 9th St,Benton Harbor,MI,49022,"248 9th St, Benton Harbor, MI 49022",42.11363141,-86.45899076,"248 9th Street, Benton Harbor, MI 49022, United States of America",1,1,1
Drive One Career Technical High School,50919,15900 Common Rd,Roseville,MI,48066,"15900 Common Rd, Roseville, MI 48066",42.51633786,-82.95954277,"15900 Common Road, Roseville, MI 48066, United States of America",1,1,1
Eagle Crest Charter Academy,70906,11950 Riley St,Holland,MI,49424,"11950 Riley St, Holland, MI 49424",42.82654417,-86.07699626,"11950 Riley Street, Zeeland, MI 49424, United States of America",1,1,1
Eagle's Nest Academy,25916,5005 Cloverlawn Dr,Flint,MI,48504,"5005 Cloverlawn Dr, Flint, MI 48504",43.05952918,-83.72964237,"5005 Cloverlawn Drive, Flint, MI 48504, United States of America",1,1,1
Early Career Academy,63936,1522 E Big Beaver Rd,Troy,MI,48083,"1522 E Big Beaver Rd, Troy, MI 48083",42.56258655,-83.11725388,"1522 East Big Beaver Road, Troy, MI 48083, United States of America",1,1,1
East Arbor Charter Academy,81910,6885 Merritt Rd,Ypsilanti,MI,48197,"6885 Merritt Rd, Ypsilanti, MI 48197",42.18736134,-83.62253652,"6885 Merritt Road, Ypsilanti Charter Township, MI 48197, United States of America",1,1,1
East Shore Leadership Academy,74900,1403 7th St,Port Huron,MI,48060,"1403 7th St, Port Huron, MI 48060",42.96928349,-82.4274389,"1403 7th Street, Port Huron, MI 48060, United States of America",1,1,1
Eaton Academy,82915,21450 Universal Ave,Eastpointe,MI,48021,"21450 Universal Ave, Eastpointe, MI 48021",42.45557308,-82.95786424,"21450 Universal Avenue, Eastpointe, MI 48021, United States of America",1,1,1
El-Hajj Malik El-Shabazz Academy,33902,1028 West Barnes Ave,Lansing,MI,48910,"1028 West Barnes Ave, Lansing, MI 48910",42.71487174,-84.56647786,"1028 West Barnes Avenue, Lansing, MI 48910, United States of America",1,1,1
Elbert T. Clark Academy,82920,16151 James Couzens Freeway,Detroit,MI,48221,"16151 James Couzens Freeway, Detroit, MI 48221",42.41025644,-83.16523415,"16151 James Couzens Freeway, Detroit, MI 48221, United States of America",1,1,1
Endeavor Charter Academy,13902,380 Helmer Rd N,Springfield,MI,49037,"380 Helmer Rd N, Springfield, MI 49037",42.32391905,-85.23811783,"Endeavor Charter Academy, 380 North Helmer Road, Springfield, MI 49037, United States of America",0,1,
Endeavor Charter Academy,13902,380 Helmer Rd N,Battle Creek,MI,49037,"380 Helmer Rd N, Battle Creek, MI 49037",42.32391905,-85.23811783,"Endeavor Charter Academy, 380 North Helmer Road, Springfield, MI 49037, United States of America",0,1,
Escuela Avancemos,82744,2635 Howard St,Detroit,MI,48216,"2635 Howard St, Detroit, MI 48216",42.32113763,-83.07624873,"2635 Howard Street, Detroit, MI 48216, United States of America",1,1,1
Evergreen Academy,39908,2121 Hudson Ave,Kalamazoo,MI,49008,"2121 Hudson Ave, Kalamazoo, MI 49008",42.271325,-85.596986,"2121 Hudson Avenue, Kalamazoo, MI 49008, United States of America",1,1,1
Excel Charter Academy,41905,4201 Breton Rd Se,Grand Rapids,MI,49512,"4201 Breton Rd Se, Grand Rapids, MI 49512",42.932323,-85.6096,"Breton Road Southeast, East Grand Rapids, MI 49508, United States of America",0.45,0.9,0.9
Experiencia Preparatory Academy,82707,950 Selden St,Detroit,MI,48201,"950 Selden St, Detroit, MI 48201",42.34630902,-83.06833806,"950 Selden Street, Detroit, MI 48201, United States of America",1,1,1
Explore Academy-Livonia,82774,31100 Plymouth Rd,Livonia,MI,48150,"31100 Plymouth Rd, Livonia, MI 48150",42.3692589,-83.35038704,"31100 Plymouth Road, Livonia, MI 48150, United States of America",1,1,1
Family Institute Early Childhood Academy,39902,505 S. Park Street,Kalamazoo,MI,49007,"505 S. Park Street, Kalamazoo, MI 49007",42.28730636,-85.58732,"505 South Park Street, Kalamazoo, MI 49007, United States of America",1,1,1
Faxon Academy,63926,26275 Northwe#rn Hwy,Southfield,MI,48076,"26275 Northwe#rn Hwy, Southfield, MI 48076",42.497517,-83.230874,"Lathrup Village (Lathrup Village), MI 48076, United States of America",0.25,1,
Flagship Charter Academy,82997,13661 Wisconsin St,Detroit,MI,48238,"13661 Wisconsin St, Detroit, MI 48238",42.38740084,-83.15616176,"13661 Wisconsin Street, Detroit, MI 48238, United States of America",1,1,1
Flat River Academy,41911,9481 Jordan Rd,Greenville,MI,48838,"9481 Jordan Rd, Greenville, MI 48838",43.16063141,-85.26179306,"9481 Jordan Road, Eureka Township, MI 48838, United States of America",1,1,1
Flat River Academy,41911,9481 Jordan Road,Greenville,MI,48838,"9481 Jordan Road, Greenville, MI 48838",43.16063141,-85.26179306,"9481 Jordan Road, Eureka Township, MI 48838, United States of America",1,1,1
Flex High School of Michigan - North Flint,25918,4945 Clio Rd,Flint,MI,48504,"4945 Clio Rd, Flint, MI 48504",43.05772016,-83.73302114,"4945 Clio Road, Flint, MI 48504, United States of America",1,1,1
Flex High School of Pontiac,63920,142 Auburn Ave,Pontiac,MI,48342,"142 Auburn Ave, Pontiac, MI 48342",42.63424597,-83.28407714,"142 Auburn Avenue, Pontiac, MI 48342, United States of America",1,1,1
FlexTech High School,47903,7707 Conference Center Dr,Brighton,MI,48114,"7707 Conference Center Dr, Brighton, MI 48114",42.55185511,-83.79780637,"7707 Conference Center Drive, Genoa Charter Township, MI 48114, United States of America",1,1,1
Flextech High School Shepherd,37900,380 W Blanchard Rd,Shepherd,MI,48883,"380 W Blanchard Rd, Shepherd, MI 48883",43.524384,-84.69253,"Coe Township (Shepherd), MI, United States of America",0.25,1,
Flint Cultural Center Academy,25919,1200 Robert T Longway Blvd,Flint,MI,48503,"1200 Robert T Longway Blvd, Flint, MI 48503",43.025476,-83.67867,"1200 Robert T Longway Boulevard, Flint, MI 48503, United States of America",1,1,1
Forest Academy,39907,5196 Comstock Ave,Kalamazoo,MI,49048,"5196 Comstock Ave, Kalamazoo, MI 49048",42.2834872,-85.52736584,"5196 Comstock Avenue, Comstock Charter Township, MI 49048, United States of America",1,1,1
Fortis Academy,81906,3875 Golfside Rd,Ypsilanti,MI,48197,"3875 Golfside Rd, Ypsilanti, MI 48197",42.2325403,-83.6606499,"3875 Golfside Road, Pittsfield Charter Township, MI 48197, United States of America",1,1,1
Fostering Leadership Academy,82772,16511 Delaware Ave,Redford Charter Twp,MI,48240,"16511 Delaware Ave, Redford Charter Twp, MI 48240",42.25464,-83.58351,"16511 Delaware Ave, Redford Charter Twp, MI 48240", ,,
Four Corners Montessori Academy,63923,1075 E Gardenia Ave,Madison Heights,MI,48071,"1075 E Gardenia Ave, Madison Heights, MI 48071",42.49799957,-83.09525081,"1075 East Gardenia Avenue, Madison Heights, MI 48071, United States of America",1,1,1
Francis Reh PSA,73909,2201 Owen St,Saginaw,MI,48601,"2201 Owen St, Saginaw, MI 48601",43.40669661,-83.94471496,"2201 Owen Street, Saginaw, MI 48601, United States of America",1,1,1
Francis Street Primary School,38904,1320 Francis Street,Jackson,MI,49203,"1320 Francis Street, Jackson, MI 49203",42.23254357,-84.40382818,"1320 Francis Street, Jackson, MI 49203, United States of America",1,1,1
Frederick Douglass International Academy,63935,21700 Marlow ST.,Oak Park,MI,48237,"21700 Marlow ST., Oak Park, MI 48237",42.454112,-83.195627,"21700 Marlow Street, Oak Park, MI 48237, United States of America",1,1,1
Frontier International Academy,82987,13200 Conant St,Detroit,MI,48212,"13200 Conant St, Detroit, MI 48212",42.41402069,-83.06034722,"13200 Conant Street, Detroit, MI 48212, United States of America",1,1,1
Frontier International Academy,82987,28111 Imperial Dr,Warren,MI,48093,"28111 Imperial Dr, Warren, MI 48093",42.50300022,-83.00068097,"28111 Imperial Drive, Warren, MI 48093, United States of America",1,1,1
Gateway Middle/High School,41913,311 State Street Se,Grand Rapids,MI,49503,"311 State Street Se, Grand Rapids, MI 49503",42.960026,-85.660384,"311 State Street Southeast, Grand Rapids, MI 49503, United States of America",1,1,1
Gateway To Success Academy,53901,526 N Scottville Rd,Scottville,MI,49454,"526 N Scottville Rd, Scottville, MI 49454",43.964272,-86.278304,"526 North Scottville Road, Scottville, MI 49454, United States of America",1,1,1
Gaudior Academy,82911,27100 Avondale St,Inkster,MI,48141,"27100 Avondale St, Inkster, MI 48141",42.293488,-83.314827,"Inkster (Inkster), MI 48141, United States of America",0.25,1,
GEE Compass Academy,81916,850 S. Hewitt Street,Ypsilanti,MI,48197,"850 S. Hewitt Street, Ypsilanti, MI 48197",42.194034,-83.639984,"Ypsilanti, MI 48197, United States of America",0.25,1,
GEE Edmonson Academy,82731,1300 West Canfield St,Detroit,MI,48201,"1300 West Canfield St, Detroit, MI 48201",42.34861205,-83.07500945,"1300 West Canfield Street, Detroit, MI 48201, United States of America",1,1,1
GEE White Academy,82732,5161 Charles St,Detroit,MI,48212,"5161 Charles St, Detroit, MI 48212",42.41179672,-83.0500802,"5161 Charles Street, Detroit, MI 48212, United States of America",1,1,1
Genesee STEM Academy,25900,5240 Calkins Road,Flint,MI,48532,"5240 Calkins Road, Flint, MI 48532",43.0166521,-83.78204243,"5240 Calkins Road, Flint Charter Township, MI 48532, United States of America",1,1,1
George Crockett Academy,82937,4851 14th St,Detroit,MI,48208,"4851 14th St, Detroit, MI 48208",42.34881323,-83.08633244,"4851 14th Street, Detroit, MI 48208, United States of America",1,1,1
George Washington Carver Academy,82963,14510 2nd Ave,Highland Park,MI,48203,"14510 2nd Ave, Highland Park, MI 48203",42.40756753,-83.10263394,"14510 2nd Avenue, Highland Park, MI 48203, United States of America",1,1,1
Gerald Dawkins Academy,41932,1050 Fisk St Se,Grand Rapids,MI,49507,"1050 Fisk St Se, Grand Rapids, MI 49507",42.942329,-85.642641,"1050 Fisk Street SE, Grand Rapids, MI 49507, United States of America",1,1,1
Global Heights Academy,82725,23713 Joy Rd,Dearborn Heights,MI,48127,"23713 Joy Rd, Dearborn Heights, MI 48127",42.35687902,-83.27085555,"23713 Joy Road, Dearborn Heights, MI 48127, United States of America",1,1,1
Global Preparatory Academy,50904,7460 E 10 Mile Rd. ,Center Line,MI,48015,"26200 Ridgemont, Roseville, MI 48066",42.493273,-82.954119,"7460 E 10 Mile Rd. Center Line. MI 48015, United States of America ",0.9,1,0.9
Global Tech Academy,81900,1715 E Forest Ave,Ypsilanti,MI,48198,"1715 E Forest Ave, Ypsilanti, MI 48198",42.25015907,-83.57638226,"1715 East Forest Avenue, Ypsilanti Charter Township, MI 48198, United States of America",1,1,1
Grand Blanc Academy,25903,5135 E Hill Rd,Grand Blanc,MI,48439,"5135 E Hill Rd, Grand Blanc, MI 48439",42.94529119,-83.60642829,"5135 East Hill Road, Genesee County, MI 48439, United States of America",1,1,1
Grand Rapids Child Discovery Center,41921,409 Lafayette Ave Se,Grand Rapids,MI,49503,"409 Lafayette Ave Se, Grand Rapids, MI 49503",42.95559773,-85.66190082,"409 Lafayette Avenue Southeast, Grand Rapids, MI 49503, United States of America",1,1,1
Grand Rapids Ellington Academy of Arts & Technology,41927,670 Burton St Se,Grand Rapids,MI,49507,"670 Burton St Se, Grand Rapids, MI 49507",42.92743413,-85.65103685,"670 Burton Street Southeast, Grand Rapids, MI 49507, United States of America",1,1,1
Grand River Academy,82757,28111 8 Mile Rd,Livonia,MI,48152,"28111 8 Mile Rd, Livonia, MI 48152",42.440053,-83.374281,"33239 8 Mile Road, Livonia, MI 48152, United States of America",0.5,1,1
Grand River Preparatory High School,41930,650 52nd St Se,Kentwood,MI,49548,"650 52nd St Se, Kentwood, MI 49548",42.86927401,-85.64872739,"650 52nd Street Southeast, Kentwood, MI 49548, United States of America",1,1,1
Grand Traverse Academy,28902,1245 Hammond Rd E,Traverse City,MI,49686,"1245 Hammond Rd E, Traverse City, MI 49686",44.717509,-85.552774,"1245 East Hammond Road, Traverse City, MI 49686, United States of America",1,1,1
Great Lakes Academy,63907,46312 Woodward Ave,Pontiac,MI,48342,"46312 Woodward Ave, Pontiac, MI 48342",42.63131307,-83.28854098,"46312 Woodward Avenue, Pontiac, MI 48342, United States of America",1,1,1
Great Lakes Anchor Academy,50907,24475 Saint Francis St,Clinton Township,MI,48036,"24475 Saint Francis St, Clinton Township, MI 48036",42.58928199,-82.86430335,"24475 Saint Francis Street, Clinton Township, MI 48036, United States of America",1,1,1
Great Lakes Learning Academy,33914,2875 Eyde Pkwy,East Lansing,MI,48823,"2875 Eyde Pkwy, East Lansing, MI 48823",42.7168439,-84.4543432,"2875 Eyde Parkway, Meridian Charter Township, MI 48823, United States of America",1,1,1
Great Oaks Academy,63922,4257 Bart Ave,Warren,MI,48091,"4257 Bart Ave, Warren, MI 48091",42.46593388,-83.06317546,"4257 Bart Avenue, Warren, MI 48091, United States of America",1,1,1
Greater Heights Academy,25914,3196 W Pasadena Ave,Flint,MI,48504,"3196 W Pasadena Ave, Flint, MI 48504",43.04625294,-83.73912032,"3196 West Pasadena Avenue, Flint, MI 48504, United States of America",1,1,1
Hamilton Academy,82733,14223 Southampton,Detroit,MI,48213,"14223 Southampton, Detroit, MI 48213",42.398919,-82.963123,"14223 Southampton, Detroit, MI 48213, United States of America",1,1,1
Hamtramck Academy,82977,11420 Conant St,Hamtramck,MI,48212,"11420 Conant St, Hamtramck, MI 48212",42.4034591,-83.05348792,"11420 Conant Street, Hamtramck, MI 48212, United States of America",1,1,1
Hanley International Academy,82986,2400 Denton St,Hamtramck,MI,48212,"2400 Denton St, Hamtramck, MI 48212",42.38600095,-83.0535168,"2400 Denton Street, Hamtramck, MI 48212, United States of America",1,1,1
Health Careers Academy of St. Clair County,74904,Po Box 1500,Marysville,MI,48040,"Po Box 1500, Marysville, MI 48040",42.9108647,-82.4861734,"Marysville, MI 48040, United States of America",1,1,
HEART Academy,82927,19800 Anita St,Harper Woods,MI,48225,"19800 Anita St, Harper Woods, MI 48225",42.44922583,-82.92622998,"19800 Anita Street, Harper Woods, MI 48225, United States of America",1,1,1
Henry Ford Academy,82926,P.O. Box 1148,Dearborn,MI,48121,"P.O. Box 1148, Dearborn, MI 48121",42.3222599,-83.1763145,"Dearborn, MI, United States of America",1,1,
Highland Park Public School Academy System,82749,15900 Woodward Ave,Highland Park,MI,48203,"15900 Woodward Ave, Highland Park, MI 48203",42.413021,-83.101962,"15900 Woodward Avenue, Highland Park, MI 48203, United States of America",1,1,1
Highpoint Virtual Academy of Michigan,83900,210 E Mesick Ave,Mesick,MI,49668,"210 E Mesick Ave, Mesick, MI 49668",44.40558656,-85.71137355,"210 East Mesick Avenue, Mesick, MI 49668, United States of America",1,1,1
Hillsdale Preparatory School,30901,160 Mechanic Rd,Hillsdale,MI,49242,"160 Mechanic Rd, Hillsdale, MI 49242",41.934475,-84.68375,"Mechanic Road, Hillsdale, MI 49242, United States of America",0.5,1,1
Hinoki International School,63937,29230 West 12 Mile Road,Farmington Hills,MI,48334,"29230 West 12 Mile Road, Farmington Hills, MI 48334",42.49984702,-83.33502583,"29230 West 12 Mile Road, Farmington Hills, MI 48334, United States of America",1,1,1
Hinoki International School,82726,36611 Curtis Rd,Livonia,MI,48152,"36611 Curtis Rd, Livonia, MI 48152",42.41862245,-83.40595754,"36611 Curtis Road, Livonia, MI 48152, United States of America",1,1,1
Holly Academy,63911,820 Academy Rd,Holly,MI,48442,"820 Academy Rd, Holly, MI 48442",42.79172374,-83.63990254,"820 Academy Road, Oakland County, MI 48442, United States of America",1,1,1
Holly Park Academy,33910,3300 Express Ct,Lansing,MI,48910,"3300 Express Ct, Lansing, MI 48910",42.6984513,-84.5742498,"Express Court, Lansing, MI 49811, United States of America",0.5,1,1
Honey Creek Community School,81901,1735 S Wagner Rd,Ann Arbor,MI,48103,"1735 S Wagner Rd, Ann Arbor, MI 48103",42.2606384,-83.7988254,"1735 South Wagner Road, Scio Township, MI 48103, United States of America",1,1,1
Hope Academy,82942,12121 Broadstreet Ave,Detroit,MI,48204,"12121 Broadstreet Ave, Detroit, MI 48204",42.37888479,-83.13397634,"12121 Broadstreet Avenue, Detroit, MI 48204, United States of America",1,1,1
Hope Academy of West Michigan,41926,240 Brown St Se,Grand Rapids,MI,49507,"240 Brown St Se, Grand Rapids, MI 49507",42.93186112,-85.662028,"240 Brown Street Southeast, Grand Rapids, MI 49507, United States of America",1,1,1
Hope of Detroit Academy,82957,4443 N Campbell St,Detroit,MI,48210,"4443 N Campbell St, Detroit, MI 48210",42.33478464,-83.11676424,"4443 North Campbell Street, Detroit, MI 48210, United States of America",1,1,1
Horizons Community High School,41902,1585 36th Street Sw,Wyoming,MI,49509,"1585 36th Street Sw, Wyoming, MI 49509",42.89898514,-85.70419014,"1585 36th Street Southwest, Wyoming, MI 49509, United States of America",1,1,1
Hospitality Academy of St. Clair County,74905,Po Box 1500,Marysville,MI,48040,"Po Box 1500, Marysville, MI 48040",42.9108647,-82.4861734,"Marysville, MI 48040, United States of America",1,1,
Huron Academy,50903,11401 Metro Pkwy,Sterling Hts,MI,48312,"11401 Metro Pkwy, Sterling Hts, MI 48312",42.567112,-83.012297,"11401 Metropolitan Parkway, Sterling Heights, MI 48312, United States of America",0.63,1,0.63
ICademy Global,70909,8485 Home#ad Dr,Zeeland,MI,49464,"8485 Home#ad Dr, Zeeland, MI 49464",42.8108439,-85.9913348,"Innocademy, 8485 Homestead Drive, Zeeland Charter Township, MI 49464, United States of America",0.63,1,0.63
Industrial Technology Academy,74902,Po Box 1500,Marysville,MI,48040,"Po Box 1500, Marysville, MI 48040",42.9108647,-82.4861734,"Marysville, MI 48040, United States of America",1,1,
Information Technology Academy of St. Clair,74907,Po Box 1500,Marysville,MI,48040,"Po Box 1500, Marysville, MI 48040",42.9108647,-82.4861734,"Marysville, MI 48040, United States of America",1,1,
Inkster Preparatory Academy,82762,27355 Woodsfield St,Inkster,MI,48141,"27355 Woodsfield St, Inkster, MI 48141",42.30740127,-83.30973833,"27355 Woodsfield, Inkster, MI 48141, United States of America",0.9,1,0.9
Innocademy,70908,8485 Home#ad Dr,Zeeland,MI,49464,"8485 Home#ad Dr, Zeeland, MI 49464",42.8108439,-85.9913348,"Innocademy, 8485 Homestead Drive, Zeeland Charter Township, MI 49464, United States of America",0.63,1,0.63
Innocademy Allegan Campus,3900,2611 56th St,Fennville,MI,49408,"2611 56th St, Fennville, MI 49408",42.60976975,-86.09459365,"2611 56th Street, Fennville, MI 49408, United States of America",1,1,1
Innocademy Pyramid Campus,41903,6100 E Paris Ave Se,Caledonia,MI,49316,"6100 E Paris Ave Se, Caledonia, MI 49316",42.85252308,-85.56534147,"6100 East Paris Avenue Southeast, Gaines Charter Township, MI 49316, United States of America",1,1,1
Insight School of Michigan,23903,526 S Creyts Rd,Lansing,MI,48917,"526 S Creyts Rd, Lansing, MI 48917",42.72866182,-84.64240952,"526 South Creyts Road, Delta Charter Township, MI 48917, United States of America",1,1,1
Insight School of Michigan,33900,"6512 Centurion, Suite 320",Lansing,MI,48917,"6512 Centurion, Suite 320, Lansing, MI 48917",42.7236082,-84.6449764,"Insight School of Michigan, 6512 Centurion Drive, Lansing, MI 48917, United States of America",0.9,1,0.9
International Academy of Detroit,82709,7000 W Outer Dr,Detroit,MI,48235,"7000 W Outer Dr, Detroit, MI 48235",42.419747,-83.199628,"7000 West Outer Drive, Detroit, MI 48235, United States of America",1,1,1
International Academy of Flint,25905,2820 S Saginaw St,Flint,MI,48503,"2820 S Saginaw St, Flint, MI 48503",42.99690843,-83.67807986,"2820 South Saginaw Street, Flint, MI 48503, United States of America",1,1,1
International Academy of Saginaw,73912,1944 Iowa Ave,Saginaw,MI,48601,"1944 Iowa Ave, Saginaw, MI 48601",43.38477956,-83.91721375,"1944 Iowa Avenue, Bridgeport Charter Township, MI 48601, United States of America",1,1,1
Island City Academy,23901,6421 S Clinton Trl,Eaton Rapids,MI,48827,"6421 S Clinton Trl, Eaton Rapids, MI 48827",42.47363806,-84.65954371,"6421 South Clinton Trail, Eaton Rapids, MI 48827, United States of America",1,1,1
Ivywood Classical Academy,82767,14356 Genoa Ct,Plymouth,MI,48170,"14356 Genoa Ct, Plymouth, MI 48170",42.3853372,-83.51389279,"14356 Genoa Court, Plymouth Charter Township, MI 48170, United States of America",1,1,1
Jackson Arts and Technology PSA,38903,500 Griswold St,Jackson,MI,49203,"500 Griswold St, Jackson, MI 49203",42.23017121,-84.41657979,"500 Griswold Street, Jackson, MI 49203, United States of America",1,1,1
Jackson Preparatory & Early College,38900,2111 Emmons Rd,Jackson,MI,49201,"2111 Emmons Rd, Jackson, MI 49201",42.167426,-84.405481,"2111 Emmons Road, Summit Township, MI 49201, United States of America",1,1,1
Jalen Rose Leadership Academy,82728,15000 Trojan St,Detroit,MI,48235,"15000 Trojan St, Detroit, MI 48235",42.44182015,-83.19475951,"Jalen Rose Leadership Academy, 15000 Trojan Street, Detroit, MI 48235, United States of America",1,1,1
Jefferson International Academy,63933,60 S Lynn Ave,Waterford,MI,48328,"60 S Lynn Ave, Waterford, MI 48328",42.63361007,-83.33561225,"60 South Lynn Avenue, Waterford Township, MI 48328, United States of America",1,1,1
Joseph K. Lumsden Bahweting Anishnabe Academy,17901,1301 Marquette Ave,Sault Sainte Marie,MI,49783,"1301 Marquette Ave, Sault Sainte Marie, MI 49783",46.480962,-84.332604,"1301 Marquette Avenue, Sault Ste. Marie, MI 49783, United States of America",1,1,1
Joy Preparatory Academy,82958,15055 Dexter Ave,Detroit,MI,48238,"15055 Dexter Ave, Detroit, MI 48238",42.40111178,-83.13563088,"15055 Dexter Avenue, Detroit, MI 48238, United States of America",1,1,1
Kalamazoo Advantage Academy,39904,121 W. South Street,Kalamazoo,MI,49007,"121 W. South Street, Kalamazoo, MI 49007",42.28972249,-85.58356455,"121 West South Street, Kalamazoo, MI 49007, United States of America",1,1,1
Kalamazoo Covenant Academy,39911,404 W Crosstown Pkwy,Kalamazoo,MI,49001,"404 W Crosstown Pkwy, Kalamazoo, MI 49001",42.27617524,-85.5884608,"404 West Crosstown Parkway, Kalamazoo, MI 49001, United States of America",1,1,1
Kensington Woods Schools,47901,9501 Pettys Road,Lakeland,MI,48143,"9501 Pettys Road, Lakeland, MI 48143",42.45787655,-83.83663817,"Kensington Woods Schools, 9501 Pettys Road, Hamburg Township, MI 48143, United States of America",1,1,1
Keys Grace Academy,63938,27321 Hampden St,Madison Heights,MI,48071,"27321 Hampden St, Madison Heights, MI 48071",42.49302169,-83.11370324,"27321 Hampden Street, Madison Heights, MI 48071, United States of America",1,1,1
Keys Grace Academy,63938,915 E 11 Mile Rd,Madison Hts,MI,48071,"915 E 11 Mile Rd, Madison Hts, MI 48071",42.49074539,-83.09717269,"915 East 11 Mile Road, Madison Heights, MI 48071, United States of America",1,1,1
Keystone Academy,82976,47925 Bemis Rd,Belleville,MI,48111,"47925 Bemis Rd, Belleville, MI 48111",42.1733409,-83.50642523,"Keystone Academy, 47925 Bemis Road, Belleville, MI 48111, United States of America",1,1,1
King Academy,82932,1615 Henry Ruff Road,Inkster,MI,48141,"1615 Henry Ruff Road, Inkster, MI 48141",42.3002654,-83.3395667,"1615 Henry Ruff Road, Inkster, MI 48141, United States of America",1,1,1
Kingsbury Country Day School,63934,5000 Hosner Rd,Oxford,MI,48370,"5000 Hosner Rd, Oxford, MI 48370",42.871158,-83.20268,"5000 Hosner Road, Dryden Township, MI 48370, United States of America",1,1,1
KIPP Detroit Imani Academy,82775,19321 W Chicago St,Detroit,MI,48228,"19321 W Chicago St, Detroit, MI 48228",42.36472953,-83.230341,"19321 West Chicago Street, Detroit, MI 48228, United States of America",1,1,1
Knapp Charter Academy,41914,1759 Leffingwell Ave Ne,Grand Rapids,MI,49525,"1759 Leffingwell Ave Ne, Grand Rapids, MI 49525",42.99375305,-85.60286173,"Knapp Charter Academy, 1759 Leffingwell Avenue Northeast, Grand Rapids, MI 49525, United States of America",1,1,1
Lake Superior Academy,17900,8936 S Mackinac Trl,Sault S Marie,MI,49783,"8936 S Mackinac Trl, Sault S Marie, MI 49783",46.37712712,-84.40525633,"8936 South Mackinac Trail, Dafter Township, MI 49783, United States of America",1,1,1
Lakeshore Public Academy,64901,6023 N. 72nd Avenue,Hart,MI,49420,"6023 N. 72nd Avenue, Hart, MI 49420",43.75454245,-86.37884145,"6023 North 72nd Avenue, Weare Township, MI 49420, United States of America",1,1,1
Lakeside Charter School - Albion,13905,13725 Starr Commonwealth Road,Albion,MI,49224,"13725 Starr Commonwealth Road, Albion, MI 49224",42.27501,42.27501,"13725 Starr Commonwealth Road, Albion, MI 49224",,,
Lakeside Charter School - Kalamazoo,39900,3921 Oakland Dr Frnt,Kalamazoo,MI,49008,"3921 Oakland Dr Frnt, Kalamazoo, MI 49008",42.263841,-85.617047,"Kalamazoo (Kalamazoo), MI 49008, United States of America",0.25,1,
Landmark Academy,74903,4800 Lapeer Rd,Kimball,MI,48074,"4800 Lapeer Rd, Kimball, MI 48074",42.98324154,-82.51719283,"4800 Lapeer Road, Saint Clair County, MI 48074, United States of America",1,1,1
Laurus Academy,63918,24590 Lahser Rd,Southfield,MI,48033,"24590 Lahser Rd, Southfield, MI 48033",42.46867532,-83.26046487,"24590 Lahser Road, Southfield, MI 48033, United States of America",1,1,1
Leaders Preparatory Academy,63904,27700 Southfield Rd,Lathrup Village,MI,48076,"27700 Southfield Rd, Lathrup Village, MI 48076",42.4861739,-83.2211584,"Cooper St. Cookies, 27700 Southfield Road, Lathrup Village, MI 48076, United States of America",1,1,1
"Learn, Live, Lead Academy",33912,3000 W. Miller Road,Lansing,MI,48910,"3000 W. Miller Road, Lansing, MI 48910",42.669772,-84.590645,"3000 West Miller Road, Lansing, MI 48911, United States of America",1,1,1
Leelanau Montessori Public School Academy,45901,7401 E Duck Lake Rd,Lake Leelanau,MI,49653,"7401 E Duck Lake Rd, Lake Leelanau, MI 49653",44.985665,-85.704791,"7401 East Duck Lake Road, Lake Leelanau, MI 49653, United States of America",1,1,1
Legacy Charter Academy,82723,4900 E Hildale St,Detroit,MI,48234,"4900 E Hildale St, Detroit, MI 48234",42.42879405,-83.05417471,"Legacy Charter Academy, 4900 East Hildale Street, Detroit, MI 48234, United States of America",1,1,1
Life Skills Center of Metropolitan Detroit,82978,3100 East Jefferson Ave,Detroit,MI,48207,"3100 East Jefferson Ave, Detroit, MI 48207",42.340283,-83.017684,"3100 East Jefferson Avenue, Detroit, MI 48207, United States of America",1,1,1
LifeTech Academy,23900,854 Elmwood Rd,Lansing,MI,48917,"854 Elmwood Rd, Lansing, MI 48917",42.7432013,-84.6223938,"854 Elmwood Road, Lansing, MI 48917, United States of America",1,1,1
Light of the World Academy,47900,550 E Hamburg St,Pinckney,MI,48169,"550 E Hamburg St, Pinckney, MI 48169",42.45952965,-83.94239482,"550 East Hamburg Street, Pinckney, MI 48169, United States of America",1,1,1
Lighthouse Academy,41922,3300 36th St Se,Grand Rapids,MI,49512,"3300 36th St Se, Grand Rapids, MI 49512",42.897905,-85.5851638,"3300 36th Street Southeast, Kentwood, MI 49512, United States of America",1,1,1
Lighthouse Connections Academy,63939,3150 Livernois Rd,Troy,MI,48083,"3150 Livernois Rd, Troy, MI 48083",42.56417941,-83.14765321,"3150 Livernois Road, Troy, MI 48083, United States of America",1,1,1
Lincoln-King Academy,82720,13436 Grove St,Detroit,MI,48235,"13436 Grove St, Detroit, MI 48235",42.41430405,-83.17721632,"13436 Grove Street, Detroit, MI 48235, United States of America",1,1,1
Lincoln-King Adams-Young Academy,82773,13436 Grove St,Detroit,MI,48235,"13436 Grove St, Detroit, MI 48235",42.41430405,-83.17721632,"13436 Grove Street, Detroit, MI 48235, United States of America",1,1,1
