PSA,PSA Code,Street,City,State,Zip,Address_Unformatted,Latitude,Longitude,Address,confidence,confidence_city_level,confidence_street_level
Applied Technology Academy,82952,4801 Oakman,Dearborn,MI,48126,"4801 Oakman, Dearborn, MI 48126",42.3224688,-83.16824981,"Advanced Technology Academy, 4801 Oakman Boulevard, Dearborn, MI 48126, United States of America",0.9,1,0.9
Arbor Academy,13901,55 Arbor St,Battle Creek,MI,49015,"55 Arbor St, Battle Creek, MI 49015",42.30264512,-85.21396743,"55 Arbor Street, Battle Creek, MI 49015, United States of America",1,1,1
Arbor Preparatory High School,81909,6800 Hitchingham Rd,Ypsilanti,MI,48197,"6800 Hitchingham Rd, Ypsilanti, MI 48197",42.18924866,-83.6207097,"6800 Hitchingham Road, Ypsilanti Charter Township, MI 48197, United States of America",1,1,1
Arts Academy in the Woods,50905,32101 Caroline,Fraser,MI,48026,"32101 Caroline, Fraser, MI 48026",42.532412,-82.951935,"32101 Caroline, Fraser, MI 48026, United States of America",1,1,1
Arts and Technology Academy of Pontiac,63915,888 Enterprise Dr,Pontiac,MI,48341,"888 Enterprise Dr, Pontiac, MI 48341",42.62003042,-83.25093706,"888 Enterprise Drive, Pontiac, MI 48341, United States of America",1,1,1
Augusta Academy,39909,600 West Michigan,Augusta,MI,49012,"600 West Michigan, Augusta, MI 49012",42.33518225,-85.35873545,"Child Development Center, 600 West Michigan Avenue, Augusta, MI 49012, United States of America",0.9,1,0.9
Barack Obama Leadership Academy,82933,10800 E Canfield St,Detroit,MI,48214,"10800 E Canfield St, Detroit, MI 48214",42.38066185,-82.98585536,"10800 East Canfield Street, Detroit, MI 48214, United States of America",1,1,1
Battle Creek Area Learning Center,13904,765 Upton Ave,Springfield,MI,49037,"765 Upton Ave, Springfield, MI 49037",42.32233379,-85.22511525,"765 Upton Avenue, Springfield, MI 49037, United States of America",1,1,1
Battle Creek Montessori Academy,13900,399 20th St N,Springfield,MI,49037,"399 20th St N, Springfield, MI 49037",42.321223,-85.220761,"399 North 20th Street, Battle Creek, MI 49037, United States of America",0,1,
Bay City Academy,9903,301 N Farragut St,Bay City,MI,48708,"301 N Farragut St, Bay City, MI 48708",43.592511,-83.879847,"301 North Farragut Street, Bay City, MI 48708, United States of America",1,1,1
Bay-Arenac Community High School,9901,805 Langstaff St,Essexville,MI,48732,"805 Langstaff St, Essexville, MI 48732",43.61200741,-83.83954963,"805 Langstaff Street, Essexville, MI 48732, United States of America",1,1,1
Beacon International Academy,82954,1021 Clairpointe,Detroit,MI,48215,"1021 Clairpointe, Detroit, MI 48215",42.3663803,-82.9590324,"1021 Clairpointe Street, Detroit, MI 48215, United States of America",0.9,1,0.9
Ben Ross Public School Academy,50910,8525 Cole Dr,Warren,MI,48093,"8525 Cole Dr, Warren, MI 48093",42.50879714,-83.01964496,"8525 Cole Drive, Warren, MI 48093, United States of America",1,1,1
Benito Juarez Academy,73904,3830 Lamson Street,Saginaw,MI,48601,"3830 Lamson Street, Saginaw, MI 48601",43.40467797,-83.91438845,"3830 Lamson Street, Saginaw, MI 48601, United States of America",1,1,1
Benjamin Carson Academy,82934,1326 ST. Antoine,Detroit,MI,48226,"1326 ST. Antoine, Detroit, MI 48226",42.336983,-83.040822,"1326 Saint Antoine Street, Detroit, MI 48226, United States of America",1,1,1
Benton Harbor Charter School Academy,11903,455 Riverview Dr,Benton Harbor,MI,49022,"455 Riverview Dr, Benton Harbor, MI 49022",42.10975096,-86.46512961,"455 Riverview Drive, Benton Harbor, MI 49022, United States of America",1,1,1
Bingham Arts Academy,4901,555 S Fifth Ave,Alpena,MI,49707,"555 S Fifth Ave, Alpena, MI 49707",45.06253875,-83.44194036,"Bingham School, 555 South 5th Avenue, Alpena, MI 49707, United States of America",0.4,1,0.4
Black River Public School,70904,491 Columbia Ave,Holland,MI,49423,"491 Columbia Ave, Holland, MI 49423",42.779352,-86.100121,"491 Columbia Avenue, Holland, MI 49423, United States of America",1,1,1
Blanche Kelso Bruce Academy,82971,8045 2nd Ave,Detroit,MI,48202,"8045 2nd Ave, Detroit, MI 48202",42.37363925,-83.07974895,"8045 2nd Avenue, Detroit, MI 48202, United States of America",1,1,1
Blended Learning Academies Credit Recovery High School,33915,1754 E Clark Rd,Lansing,MI,48906,"1754 E Clark Rd, Lansing, MI 48906",42.81301625,-84.52794761,"1754 East Clark Road, DeWitt Charter Township, MI 48906, United States of America",1,1,1
Blue Water Learning Academy,74906,9541 Phelps,Algonac,MI,48001,"9541 Phelps, Algonac, MI 48001",42.627836,-82.585253,"9541 Phelps Road, Algonac, MI 48001, United States of America",0.9,1,0.9
Blue Water Middle College,74914,323 Erie St,Port Huron,MI,48060,"323 Erie St, Port Huron, MI 48060",42.97805809,-82.42743095,"323 Erie Street, Port Huron, MI 48060, United States of America",1,1,1
Bradford Academy,63917,24218 Garner St,Southfield,MI,48033,"24218 Garner St, Southfield, MI 48033",42.46283591,-83.28169687,"24218 Garner Street, Southfield, MI 48033, United States of America",1,1,1
Branch Line School,82705,16360 Hubbard St,Livonia,MI,48154,"16360 Hubbard St, Livonia, MI 48154",42.40707642,-83.36415969,"16360 Hubbard, Livonia, MI 48154, United States of America",0.9,1,0.9
Bridge Academy,82983,3105 Carpenter St,Detroit,MI,48212,"3105 Carpenter St, Detroit, MI 48212",42.40727222,-83.06197631,"3105 Carpenter Street, Detroit, MI 48212, United States of America",1,1,1
Bridge Academy of Southwest Michigan,11900,499 W Main St,Benton Harbor,MI,49022,"499 W Main St, Benton Harbor, MI 49022",42.11360712,-86.46582411,"499 West Main Street, Benton Harbor, MI 49022, United States of America",1,1,1
Burton Glen Charter Academy,25909,4171 E Atherton Rd,Burton,MI,48519,"4171 E Atherton Rd, Burton, MI 48519",42.98970186,-83.62684986,"4171 East Atherton Road, Burton, MI 48519, United States of America",1,1,1
"Business Entrepreneurship, Science, Tech. Academy",82980,200 Highland St,Highland Park,MI,48203,"200 Highland St, Highland Park, MI 48203",42.395769,-83.098113,"200 Highland Street, Highland Park, MI 48203, United States of America",1,1,1
Byron Center Charter School,41908,9930 Burlingame Ave Sw,Byron Center,MI,49315,"9930 Burlingame Ave Sw, Byron Center, MI 49315",42.78390271,-85.70276371,"9930 Burlingame Avenue Southwest, Byron Center, MI 49315, United States of America",1,1,1
Caniff Liberty Academy,82745,2650 Caniff St,Hamtramck,MI,48212,"2650 Caniff St, Hamtramck, MI 48212",42.39899542,-83.06179701,"2650 Caniff Street, Hamtramck, MI 48212, United States of America",1,1,1
Canton Charter Academy,82968,49100 Ford Rd,Canton,MI,48187,"49100 Ford Rd, Canton, MI 48187",42.32096987,-83.5205118,"49100 Ford Road, Canton Township, MI 48187, United States of America",1,1,1
Canton Preparatory High School,82711,46610 Cherry Hill Rd,Canton,MI,48187,"46610 Cherry Hill Rd, Canton, MI 48187",42.30726098,-83.49776513,"46610 Cherry Hill Road, Canton Township, MI 48187, United States of America",1,1,1
Capital Area Academy,33907,5525 South Pennsylvania Ave,Lansing,MI,48911,"5525 South Pennsylvania Ave, Lansing, MI 48911",42.67757428,-84.53807465,"5525 South Pennsylvania Avenue, Lansing, MI 48910, United States of America",1,1,1
Casa Richard Academy,82902,2635 Howard St,Detroit,MI,48216,"2635 Howard St, Detroit, MI 48216",42.32113763,-83.07624873,"2635 Howard Street, Detroit, MI 48216, United States of America",1,1,1
Casman Alternative Academy,51903,225 9th St,Manistee,MI,49660,"225 9th St, Manistee, MI 49660",44.237076,-86.311718,"225 9th Street, Manistee, MI 49660, United States of America",1,1,1
Catherine Ferguson Academy,82708,2750 Selden St,Detroit,MI,48208,"2750 Selden St, Detroit, MI 48208",42.34020249,-83.0891587,"2750 Selden Street, Detroit, MI 48208, United States of America",1,1,1
Center Academy,25906,310 West Oakley St,Flint,MI,48503,"310 West Oakley St, Flint, MI 48503",42.99710172,-83.68084336,"310 West Oakley Street, Flint, MI 48503, United States of America",1,1,1
Center for Literacy and Creativity,82949,18401 West Mcnichols Rd,Detroit,MI,48219,"18401 West Mcnichols Rd, Detroit, MI 48219",42.41523955,-83.22326216,"18401 West McNichols Road, Detroit, MI 48219, United States of America",1,1,1
Center Line Preparatory Academy,50918,8155 Ritter,Center Line,MI,48015,"8155 Ritter, Center Line, MI 48015",42.4796966,-83.024344,"8155 Ritter Street, Center Line, MI 48015, United States of America",0.9,1,0.9
Central Academy,81902,2459 S Industrial Hwy,Ann Arbor,MI,48104,"2459 S Industrial Hwy, Ann Arbor, MI 48104",42.25199201,-83.73305584,"2459 South Industrial Highway, Ann Arbor, MI 48104, United States of America",1,1,1
Cesar Chavez Academy,82918,4100 Martin St,Detroit,MI,48210,"4100 Martin St, Detroit, MI 48210",42.329004,-83.125845,"4100 Martin Street, Detroit, MI 48210, United States of America",1,1,1
Chandler Park Academy,82923,20100 Kelly Rd,Harper Woods,MI,48225,"20100 Kelly Rd, Harper Woods, MI 48225",42.445464,-82.944586,"20100 Kelly Road, Harper Woods, MI 48225, United States of America",1,1,1
