District Code,District,Street,City,City,Zip,Address,Latitude,Longitude,Address_formatted,confidence,confidence_city_level,confidence_street_level
13905,Lakeside Charter School - Albion,13725 26 Mile Rd,Albion,MI,49224,"13725 26 Mile Rd, Albion, MI 49224",42.282176,-84.800891,"26 Mile Road, Sheridan Township, MI 49224, United States of America",0.5,1,1
13905,Lakeside Charter School - Albion,13725 Starr Commonwealth Road,Albion,MI,49224,"13725 Starr Commonwealth Road, Albion, MI 49224",,,,,,
15901,Concord Academy - Boyne,401 E Dietz Rd,Boyne City,MI,49712,"401 E Dietz Rd, Boyne City, MI 49712",45.19031784,-84.97244415,"401 East Dietz, Boyne Valley Township, MI 49712, United States of America",0.9,1,0.9
15902,Charlevoix Academy,115 West Hurlbut St,Charlevoix,MI,49720,"115 West Hurlbut St, Charlevoix, MI 49720",45.280508,-85.245172,"Marion Township, MI 49720, United States of America",0.25,1,
15902,Charlevoix Academy,8700 Mercer Rd,Charlevoix,MI,49720,"8700 Mercer Rd, Charlevoix, MI 49720",45.33070914,-85.24045163,"8700 Mercer Road, Charlevoix, MI 49720, United States of America",1,1,1
17900,Lake Superior Academy,8936 S Mackinac Trl,Sault S Marie,MI,49783,"8936 S Mackinac Trl, Sault S Marie, MI 49783",46.37712712,-84.40525633,"8936 South Mackinac Trail, Dafter Township, MI 49783, United States of America",1,1,1
17901,Joseph K. Lumsden Bahweting Anishnabe Academy,1301 Marquette Ave,Sault Sainte Marie,MI,49783,"1301 Marquette Ave, Sault Sainte Marie, MI 49783",46.480962,-84.332604,"1301 Marquette Avenue, Sault Ste. Marie, MI 49783, United States of America",1,1,1
17902,Ojibwe Charter School,12099 W Lakeshore Dr,Brimley,MI,49715,"12099 W Lakeshore Dr, Brimley, MI 49715",46.450491,-84.600999,"12099 West Lakeshore Drive, Bay Mills, MI 49715, United States of America",1,1,1
17902,Ojibwe Charter School,11507 W Industrial Dr,Brimley,MI,49715,"11507 W Industrial Dr, Brimley, MI 49715",46.4503974,-84.6028953,"Ojibwe Charter School, 11507 West Industrial Drive, Brimley, MI 49715, United States of America",1,1,1
17903,DeTour Arts and Technology Academy,202 Division St,De Tour Village,MI,49725,"202 Division St, De Tour Village, MI 49725",45.99299864,-83.90548375,"202 Division Street, DeTour Village, MI 49725, United States of America",1,1,1
